userName,review,rating,date,bank
Amistad Civil,the worst app humans ever created,1,2025-06-09 16:27:28,BOA
Phillmon Haftom,it's not working,3,2025-06-05 11:57:36,BOA
Robel Alebachew,"Hello, I’m facing a problem with the BOA Mobile app. Every time I enter my phone number and password, the app crashes and shows an error that says “BoaMobile closed because this app has a bug.” I tried updating, reinstalling, and clearing cache, but nothing worked. Please fix this bug in the next update. I really need access to my account. Thank you.",1,2025-06-03 16:21:34,BOA
Haymanot Anberber,exceptional,5,2025-06-03 10:32:35,BOA
Mohamed Abdillahi,BoA Mobile good bank,5,2025-06-02 14:25:12,BOA
Ahadu tech,this is worest app 24/7 loading,1,2025-06-01 15:51:10,BOA
Fentaw Kefyalew,This App is not interest for Android phone Please update it .,1,2025-06-01 10:17:10,BOA
Mansour Abdulkadir,BoA system is confartable,5,2025-06-01 00:47:32,BOA
Ethiopia,"this app, for me , is a waste of time. It doesn't work . I can't even long in, and it really piss me off. FIX THE PROBLEM",1,2025-05-27 21:16:27,BOA
Gizachew Tesfahun,Good service.,3,2025-05-25 19:14:52,BOA
Tewodros Regasa,the app crush frequently,1,2025-05-24 12:24:56,BOA
Mabratu Tesfaye,good,5,2025-05-22 15:34:58,BOA
amanuel fikiru,You guys keeps getting worst,1,2025-05-22 08:57:39,BOA
Fikadu Netsere,good,5,2025-05-21 19:16:49,BOA
Natty Solomon,"This app is a joke. It crashes more than it works, takes forever to load, and half the features are just decorative at this point. Can’t log in, can’t transfer money, can’t even check my balance without it bugging out. To the developer: Are you actually trying to make this work, or is this some kind of social experiment to test our patience? Did you build this in your sleep? Because it definitely looks like it. If this is your idea of a functional app, maybe consider a different career path🙏",1,2025-05-21 13:49:15,BOA
Deginet Zeleke E,BoA,2,2025-05-20 15:21:55,BOA
Nurhussen Mohammed,good,5,2025-05-20 10:57:13,BOA
Usu Elemo,but not opening on android,4,2025-05-19 17:19:32,BOA
Dagar,Worst App ever. Totally unreliable. And it didn't work at all for the last 4 months.,1,2025-05-18 15:36:47,BOA
NURI KEDU,amazing,5,2025-05-18 14:34:19,BOA
EYOB FASIL ALEMAYEHU,excellent app,4,2025-05-16 21:34:42,BOA
Mohammed Siraj,excellent,5,2025-05-15 15:42:43,BOA
Mule Kebede,ሞላዬ ከበደ,5,2025-05-14 15:47:57,BOA
fire biru,"this app does no work on Samsung a51, it just gives a preview of the logo",1,2025-05-11 19:07:08,BOA
Samson Bogale,nice,5,2025-05-10 18:48:38,BOA
bogale abunu,"i entered incorrect security question by mistake boa app lock pin forever, why is there no other options? ?? i contacted different branchs more then 4times but they didn't able to solve this issue .",5,2025-05-10 12:44:44,BOA
Eyuel Baharu,Best app,5,2025-05-09 16:12:56,BOA
Abdu berHanu,liking this application good 👍,5,2025-05-07 18:34:10,BOA
Ahmed Abdo Bedaso,"This app future is good, but there is problems with apps to reset and activate it, which is difficult even to the branch staffs, and it takes too long times to active at the branch plus most of the time high expected failure of activation after process at the counter and OTP sent not work",1,2025-05-06 18:06:33,BOA
Amnuel Gashaw Aman,good,5,2025-05-06 17:44:32,BOA
Kidus Yohannes,good,5,2025-05-02 21:50:25,BOA
Cherie,good,4,2025-04-30 11:23:56,BOA
Amare Tilahun,good,4,2025-04-30 10:34:17,BOA
Kalid Kalid,wow,5,2025-04-28 17:51:26,BOA
Parish Duop,it's really good 👍,5,2025-04-23 19:44:14,BOA
Natina'el Taye,Bad app . it stuck when you open and noting WORKS.,1,2025-04-23 14:16:20,BOA
Nahom Abebe,"the app isn't working after it asked me the password it starts loading, but it doesn't open",3,2025-04-20 21:05:21,BOA
Wase Kedir,Best,2,2025-04-19 18:38:02,BOA
Abel Hubena,It keeps showing this pop up to turn off developer options even tho it's off! I had to turn on and then off to make it work! This is a horrible experience and needs a fix asap! Plus kinda slow.,1,2025-04-19 07:15:54,BOA
Mule Negte,yideg,1,2025-04-18 00:18:40,BOA
Shimelis Keterew,አይከፍትም እኮ,1,2025-04-17 10:12:16,BOA
Amanuel fitiwi,great boa,5,2025-04-10 14:33:26,BOA
Tesfaye Tegegne,Best,5,2025-04-10 11:53:01,BOA
Tsegaye,boa of mobile backing,5,2025-04-09 14:32:34,BOA
Mezemir Haset,nice,5,2025-04-09 04:01:08,BOA
Joni Eden,faster bank of Abissinya,5,2025-04-08 16:36:23,BOA
Yared Getachew,i would have given it a lower if it was possible because it crush so much and it take the bank so long to fix the bug,1,2025-04-08 10:12:19,BOA
Bezawit Wondmagegne,it just doesn't work...so frustrating,1,2025-04-07 18:04:17,BOA
Estifanos Afework,like,5,2025-04-06 22:17:21,BOA
Teddy and Fli,it's not work correctly... you must have update it,1,2025-04-06 11:01:42,BOA
Esubalew Yismaw,"the app gets a considerable improvements like language , QR scanner and unlimited transfers survice. but BOA Please do alot on its fastness and convenient when we login and making a transactions.",5,2025-04-04 22:57:29,BOA
yonas gebre,after i typed in my password it says successfully logged out ...and goes back to the first page,2,2025-04-04 12:38:08,BOA
Nati Kasahun,good but they don't update enough don't add new things,3,2025-04-04 12:24:06,BOA
John,very good,5,2025-04-03 08:50:56,BOA
Raiis Rashaad,thank you,5,2025-04-02 03:33:00,BOA
Abel Getachew,it doesn't work period z slowest mobile banking ever i would rather use *815#,1,2025-04-01 00:27:34,BOA
Hone Boy,"after activated the application it not allowed to sign , automatically it is turn off In my phone, why ?",1,2025-03-31 23:55:06,BOA
Aklilu Keshura,good application,5,2025-03-30 21:56:40,BOA
Yohannes Assefa,this version is not working for me I cannot even buy card. I cannot send money,1,2025-03-30 15:27:26,BOA
Nahom Tesfamikael,"It can't actively on initialization, it says incorrect OTP getting the exact OTP",1,2025-03-29 14:29:38,BOA
Michele Graffi,always problematic hardly works,1,2025-03-26 13:28:25,BOA
Anteneh Mesfin,considering the fact the bank is huge this app really bad you could do better,1,2025-03-25 18:33:59,BOA
Agwes Agwes,best app,5,2025-03-25 13:15:12,BOA
Sisey Tesema,very good,5,2025-03-25 12:56:42,BOA
Monte Qamer,"worst app and Bank ever u be ashamed, scammer",1,2025-03-24 17:00:42,BOA
Cadaawe Xuseen,great BoA,5,2025-03-22 12:46:56,BOA
Aklays embay,best,5,2025-03-21 12:32:05,BOA
Rakeb Mulugeta,i have went to the bank so many times because i couldn't make any transaction i can only see my balance nothing else so what is the point of having mobile banking if i can't make any transaction with it please work in that,1,2025-03-21 10:49:11,BOA
Muhammad Hamed,good,5,2025-03-21 06:06:10,BOA
Miky Mal,good,5,2025-03-19 21:15:38,BOA
Mickey Justin,there is no speed,1,2025-03-19 19:12:01,BOA
Noah Daniel,"For anyone who wants to download it, just don't!!!",1,2025-03-19 16:02:57,BOA
Ararsa Dabale,wonderful,5,2025-03-19 13:58:10,BOA
Usman Umer,all worck,5,2025-03-19 12:55:57,BOA
Kassahun Asres Yimer,Best app,5,2025-03-17 01:23:13,BOA
Muluken Sewunet,Loved it,5,2025-03-14 17:57:04,BOA
Abdu Mille,Wow,1,2025-03-14 03:37:53,BOA
Betanoise Shi,"Edit: New bug, app not letting me type in my otp codes. Shameful Why does this app not allow me to use it while having developer options on? Did y'all consider that I might, perhaps, be an actual developer? Why am I expected to toggle the option on and off just to bank (restarting my phone when I do)? Why is the message labled as somthing that will ""smoothen"" the experience? This is like the most ""security consultant"" thing to implement in an app. Please invest in actual security, not this mess.",1,2025-03-12 22:41:25,BOA
Fanuel Gebremedhn,Improved to be the best,5,2025-03-11 12:32:31,BOA
Merkeb Bonitua,BoA,5,2025-03-11 10:51:57,BOA
Nati Man,"Decent, but there problems sometimes it says error When i transfer money but infact it transferred because of this bug i transferred 2 times instead of 1 and also we can't transfer money to others telebirr acc we only can to our self BOE Dev fix this !!!",3,2025-03-11 09:22:01,BOA
DAMTE BIRU,BoA Greqt Ethiopian bank.,5,2025-03-11 08:31:05,BOA
Bamlak Sintayehu,"The bug is still there,the app crashes every time i try to log in, especially in old phones like my Galaxy A32",1,2025-03-10 20:11:15,BOA
Biruh Alemayehu,Almost better compared to cbe where it is not qualified for,4,2025-03-09 11:50:02,BOA
Teddy Abayneh,what awesome apps. it is very simple to use and more much important apps.,5,2025-03-09 11:34:30,BOA
abrar yasin,Wonderfull app,5,2025-03-08 10:23:26,BOA
Djejaydh Sj4ydudg,i can't use this app why?,5,2025-03-07 14:28:00,BOA
Abel Tesfaye,Worst mobile banking app I ever experienced I was blaming other apps but comparing with this they're too much better!!!! It clashes it takes much longer time to login while loading in short it's a complete of trash,1,2025-03-06 22:44:28,BOA
Demlash Demlash,Wow,4,2025-03-05 21:58:05,BOA
Tarik Teshome,bro the worst app made by human kind!! as a software engineer it make me so sad seeing enterprise as big as BOA make apps like this. it is a disgrace for our country!!,1,2025-03-05 15:03:56,BOA
GENENE NUSI,AGA B Girja Miss language of admin Afaan oromo & other Itoophiyaa languages,1,2025-03-04 20:03:40,BOA
ᴀʙᴅᴜ sᴇɪᴅ ᴀʟɪ,Good app,5,2025-03-03 16:47:22,BOA
Cyber boy,"I downloaded the app for the first time while reading other customers reviews and as soon as i installed and opened the app it closes back automatically, what unserious bank, now i uninstalled the app immediately",1,2025-03-03 09:24:29,BOA
Merkeb,It has good features but sometimes it doesn't work...0,1,2025-03-02 17:02:17,BOA
Mahlet Fassil,Very poor proformance,1,2025-03-01 23:02:44,BOA
Wedi 20,It's not opening. Really frustrating,1,2025-03-01 17:18:34,BOA
Diriba Desu,Verry Amazing App from all IB,5,2025-03-01 11:35:08,BOA
Zenebe Abebe,Not working on this days,1,2025-02-26 13:29:28,BOA
fitsum tesfaye,Thank you BoA,5,2025-02-23 11:06:47,BOA
Eshetu Amsal,best banking app in the wworld,5,2025-02-22 19:58:17,BOA
Yebelay Getnet,Nice app and it's easy to use,5,2025-02-21 12:41:42,BOA
miki,"please add language in the apps setting(amharic afan oromo, tigniya,and others) sometimes bank to bank transfer is not available through time and even if if it is available not reachable…it is serious issue!",1,2025-02-15 18:15:50,BOA
Teshome Tesheberetu,This is help full i like ittttt,5,2025-02-14 21:09:06,BOA
Fisseha Legese,The is not functional at all?,2,2025-02-12 11:31:48,BOA
Huzeyfa Jemal,Best bank,5,2025-02-08 11:08:52,BOA
Zola Man,Make it easy and convienient to use and perfect for all to high prefrence and choice.,3,2025-02-07 09:28:37,BOA
Adon “Adonaray” Araya,good,5,2025-02-05 07:32:27,BOA
Nati,🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹🇪🇹👍👍👍👍👍👍👍,5,2025-02-04 08:48:51,BOA
Haben Hailemariam,I have been using this app for two years.It is amazing.,5,2025-02-01 00:18:26,BOA
Adama Adama,Good 👍,5,2025-01-31 17:46:28,BOA
Feysel Muktar,Sad experience,1,2025-01-30 20:27:28,BOA
Mesfin Wegayehu,Always do update and that is annoying,3,2025-01-27 09:11:12,BOA
Bekure Abate,"Best app, somehow waiting a few minutes",5,2025-01-23 16:02:28,BOA
Mohammed Duri,I can't dijitalize my atm in the apollo app on my phone,1,2025-01-22 06:05:22,BOA
Chol Kur,Whenever I try to sign in app close please fixed it out,2,2025-01-21 19:34:22,BOA
Segni Tufa,Beter,5,2025-01-21 12:47:47,BOA
Abeba Berha,Boa,4,2025-01-18 16:17:34,BOA
Yitbarek Misganaw,በጣም የሚያስጠላ አፕ በጣም የወረደ ዜሮ ነው የምሰጠው ዘሮ It's not App it's very slow ehhhh. Why don't you upgrade the app???? It's always zero,1,2025-01-18 13:33:28,BOA
Adan Axmed sh Barkhadle,Aadan Axmed Barkhadle,5,2025-01-17 19:23:05,BOA
Ashenafi Tamene,😡😡😡🤬🤬🤬,1,2025-01-16 12:46:26,BOA
Milkyas theodros,Horrible customer service and app crashes Horrible!!,1,2025-01-15 13:24:17,BOA
Yishak Wondafrash,I love it,5,2025-01-14 11:17:47,BOA
Metalgn N,Best,5,2025-01-14 11:14:00,BOA
Abdisa BirUK,It keeps asking me to turn off developer mode even when dev mode is off. Couldn't use it.,1,2025-01-13 15:45:23,BOA
Mesay Abdi,Good🙏,5,2025-01-12 02:27:14,BOA
No Bad,Like to much,5,2025-01-11 10:43:49,BOA
Osman Ahmed,Thank you,5,2025-01-10 19:24:54,BOA
alehamdu bedeu,Perfect,5,2025-01-09 19:02:07,BOA
